figure,swept,m,n,t,log2_T_Prange,log2_T_RP,bit_gain,ratio_C,eff_exponent_RP,eff_exponent_Prange,levels
"plot(2^10,652,106,m+)",m,1000,652,106,205.781159397865,194.23239254514735,11.548766852717648,0.9438784051634735,1.6367734875908722,2.872103755215658,7
"plot(2^10,652,106,m+)",m,1100,652,106,176.1978745977943,165.6369817738343,10.560892823960017,0.9400623143266211,1.7425743219390242,2.8722352394169097,8
"plot(2^10,652,106,m+)",m,1200,652,106,155.51409903868006,145.74804655976646,9.766052478913593,0.9372014978752213,1.8277269219016068,2.872366611685895,10
"plot(2^10,652,106,m+)",m,1300,652,106,140.09836976307716,130.97097373785235,9.127396025224812,0.9348500911134061,1.896172978104956,2.8724978722130285,11
"plot(2^10,652,106,m+)",m,1400,652,106,128.10549955219327,119.54456485098117,8.56093470121209,0.9331727776626471,1.9568964680561247,2.8726290211882377,13
"plot(2^10,652,106,m+)",m,1500,652,106,118.48047734904225,110.40432343149354,8.076153917548709,0.9318355724229871,2.0088827715045596,2.872760058800969,14
"plot(2^10,652,106,m+)",m,1600,652,106,110.56978925623511,102.92973050177815,7.640058754456959,0.9309028369697636,2.0556612371488137,2.8728909852401836,15
"plot(2^10,652,106,m+)",m,1700,652,106,103.94425105018902,96.69703319790038,7.247217852288642,0.9302778385618522,2.097812838284999,2.873021800694359,17
"plot(2^10,652,106,m+)",m,1800,652,106,98.30908037839738,91.41644580020342,6.892634578193963,0.9298881186593974,2.135872047038628,2.873152505351503,18
"plot(2^10,652,106,m+)",m,1900,652,106,93.45446728568622,86.89523255945488,6.559234726231338,0.9298135774913783,2.1716652303136263,2.873283099399138,19
"plot(2^10,652,106,m+)",m,2000,652,106,89.22667658677945,82.96580189517724,6.260874691602211,0.9298318066849318,2.2037102192818727,2.8734135830243135,20
"plot(2^10,652,106,m+)",m,2100,652,106,85.51029875259356,79.53910279484079,5.971195957752769,0.9301698620533511,2.2348264903323716,2.873543956413606,22
"plot(2^10,652,106,m+)",m,2200,652,106,82.21689752136761,76.504212517452,5.71268500391561,0.9305168988840655,2.262608745426522,2.8736742197531173,23
"plot(2^10,652,106,m+)",m,2300,652,106,79.27749833168309,73.82050160142215,5.45699673026094,0.9311658813017809,2.2900889586572255,2.8738043732284786,25
"plot(2^10,652,106,m+)",m,2400,652,106,76.63747256346632,71.40749671314339,5.22997585032293,0.9317569372346955,2.314502613677793,2.873934417024854,26
"plot(2^10,652,106,m+)",m,2500,652,106,74.2529656258239,69.242561161066,5.010404464757897,0.9325225003132351,2.3381193134460077,2.8740643513269384,27
"plot(2^10,652,106,m+)",m,2600,652,106,72.08834824395933,67.29017313344616,4.798175110513171,0.9334403516324813,2.36095055308433,2.8741941763189622,28
"plot(2^10,652,106,m+)",m,2700,652,106,70.11436273472859,65.51337025144949,4.6009924832791,0.934378744898723,2.3821721890466767,2.874323892184688,29
"plot(2^10,652,106,m+)",m,2800,652,106,68.30675167062707,63.89523206641424,4.4115196042128275,0.9354160533722196,2.402569031890745,2.874453499107416,31
"plot(2^10,652,106,m+)",m,2900,652,106,66.64522787505852,62.4171609460427,4.228066929015824,0.9365585944586717,2.422321806307637,2.8745829972699894,33
"plot(2^10,652,106,m+)",m,3000,652,106,65.11269013785575,61.05488043121906,4.057809706636689,0.937680201846283,2.440663001773437,2.8747123868547857,33
"plot(2^12,1589,172,m+)",m,4200,1589,172,151.59047326166885,142.98696661113956,8.603506650529283,0.9432450703173261,2.0541463918322007,2.863210224682679,23
"plot(2^12,1589,172,m+)",m,4350,1589,172,146.15510214144467,137.77425309647012,8.380849044974553,0.942657841415185,2.075119798222974,2.863245166900552,25
"plot(2^12,1589,172,m+)",m,4500,1589,172,141.1944131427844,133.0183678624954,8.176045280289003,0.9420937054214682,2.0944142410330913,2.863280100121227,26
"plot(2^12,1589,172,m+)",m,4650,1589,172,136.64794035020196,128.6718248006777,7.976115549524252,0.9416301809666283,2.1132503263277034,2.86331502434934,27
"plot(2^12,1589,172,m+)",m,4800,1589,172,132.4651983781408,124.67592186149405,7.789276516646751,0.9411975627408857,2.1308553685179867,2.8633499395895097,28
"plot(2^12,1589,172,m+)",m,4950,1589,172,128.60368219754508,120.99612662890097,7.607555568644116,0.9408449630784418,2.1479791029320503,2.863384845846372,29
"plot(2^12,1589,172,m+)",m,5100,1589,172,125.02733399571001,117.59251009600702,7.434823899702991,0.9405344122593376,2.164257486942409,2.8634197431245423,31
"plot(2^12,1589,172,m+)",m,5250,1589,172,121.70535357440623,114.43753237780817,7.267821196598064,0.9402834716539007,2.179997116645425,2.863454631428637,32
"plot(2^12,1589,172,m+)",m,5400,1589,172,118.61126501269321,111.50117058925336,7.110094423439847,0.9400554877930105,2.194864439635661,2.8634895107632765,32
"plot(2^12,1589,172,m+)",m,5550,1589,172,115.72217694352597,108.7654347563245,6.9567421872014705,0.9398841054416349,2.2093203772594157,2.863524381133067,34
"plot(2^12,1589,172,m+)",m,5700,1589,172,113.01819081922395,106.20847536706749,6.809715452156453,0.9397467310103309,2.223181463093364,2.863559242542618,35
"plot(2^12,1589,172,m+)",m,5850,1589,172,110.48192350544016,103.81340116712357,6.668522338316592,0.9396415076174137,2.2364939529683334,2.863594094996531,36
"plot(2^12,1589,172,m+)",m,6000,1589,172,108.0981190696697,101.56957667831595,6.528542391353753,0.939605402503386,2.249692349079727,2.8636289384994087,38
"plot(2^12,1589,172,m+)",m,6150,1589,172,105.85333078876599,99.45476948905718,6.398561299708803,0.9395525747557499,2.261950455434051,2.863663773055845,39
"plot(2^12,1589,172,m+)",m,6300,1589,172,103.7356589036036,97.46878897722404,6.26686992637957,0.939588083860314,2.2743693857616334,2.8636985986704335,41
"plot(2^12,1589,172,m+)",m,6450,1589,172,101.73453297782592,95.59144425339672,6.143088724429205,0.9396164847410451,2.286044443767614,2.863733415347765,41
"plot(2^12,1589,172,m+)",m,6600,1589,172,99.84053020564295,93.81956899490648,6.020961210736473,0.9396942183867112,2.2975639819063223,2.8637682230924235,42
"plot(2^12,1589,172,m+)",m,6750,1589,172,98.04522289040202,92.14140103404542,5.9038218563566005,0.939784706665861,2.308614430373882,2.863803021908991,43
