   table log2m         n      t   old      new  ceil       G1   +bit  newImp
  SD-low    12      3072     44   111   111.33   112     0.20   1.65    5.67
  SD-rec    12      1321    172   121   121.25   122     0.22   1.51    6.75
  SD-rec    14      2895    338   122   122.25   123     0.20   1.64    5.75
  RSD-hi    10       652    106   161   162.91   163     0.26   1.30   15.09
  RSD-hi    12      1589    172   141   142.54   143     0.22   1.50    7.46
  RSD-hi    14      3482    338   144   141.40   142     0.20   1.65    7.60
  RSD-hi    16      7391    667   142   144.37   145     0.19   1.76    5.63
  RSD-hi    18     15336   1312   145   147.74   148     0.17   1.86  -14.74
 RSD-mid    10       652     57   105   100.73   101     0.24   1.41    6.27
 RSD-mid    12      1589     98    91    92.47    93     0.21   1.60    6.53
 RSD-mid    14      3482    198    94    95.91    96     0.19   1.72    5.09
 RSD-mid    16      7391    389    97    98.78    99     0.18   1.82    4.22
 RSD-mid    18     15336    760   100   101.62   102     0.17   1.92    3.38
  RSD-34    12      3072     44   107   108.73   109     0.20   1.66    7.27
  RSD-34    14     12288     39   105   106.28   107     0.17   1.89    4.72
  RSD-34    16     49152     34   101   102.96   103     0.15   2.10    4.04
 RSD-rec    12      1377    172   120   122.86   123     0.22   1.51    5.14
 RSD-rec    14      2909    338   118   120.65   121     0.20   1.65    7.35
 RSD-rec    16      6091    667   118   123.36   124     0.19   1.76    4.64
 RSD-rec    18     14796   1312   128   143.62   144     0.17   1.86  -15.62
 RSD-rec    20     30978   2467   142   143.88   144     0.16   1.96  -15.88
  SD-low    10       652     57   105   104.81   105     0.24   1.39    6.19
  SD-low    12      1589     98    94    93.88    94     0.21   1.59    6.12
  SD-low    14      3482    198    97    96.57    97     0.19   1.72    4.43
  SD-low    14     12288     39   107   106.78   107     0.17   1.89    4.22
  SD-rec    16      6005    667   123   123.15   124     0.19   1.76    4.85
  RSD-hi    20     32771   2467   148   150.13   151     0.16   1.96  -19.13
 RSD-mid    20     32771   1419   102   104.22   105     0.16   2.01   -2.22
 RSD-rec    22     75396   4788   165   165.97   166     0.15   2.05  -37.97
  SD-low    16      7391    389    99    99.19   100     0.18   1.82    3.81
  SD-rec    18     12160   1312   124   123.91   124     0.17   1.86    4.09
  RSD-hi    22     67440   4788   150   152.66   153     0.15   2.05  -42.66
 RSD-mid    22     67440   2735   105   106.66   107     0.15   2.09   -2.66
  SD-low    18     15536    760   108   102.61   103     0.17   1.92    2.39
  SD-rec    20     25346   2467   124   124.58   125     0.16   1.96    3.42
  RSD-34    18    196608     32   104   105.12   106     0.13   2.27    2.88
  SD-low    16     49152     34   104   103.02   104     0.15   2.10    3.98
  SD-low    20     32771   1419   104   104.27   105     0.16   2.01   -2.27
  SD-rec    22     50854   4788   125   125.13   126     0.15   2.04    2.87
  SD-low    22     67440   2735   107   106.70   107     0.15   2.09   -2.70
  SD-low    18    196608     32   106   105.13   106     0.13   2.27    2.87
