   table log2m         n      t   old      new  ceil       G1   +bit  newImp
  SD-low    12      3072     44   111   111.33   112     0.20   1.65    5.67
  SD-low    10       652     57   105   104.81   105     0.24   1.39    6.19
  SD-low    12      1589     98    94    93.88    94     0.21   1.59    6.12
  SD-low    14      3482    198    97    96.57    97     0.19   1.72    4.43
  SD-low    14     12288     39   107   106.78   107     0.17   1.89    4.22
  SD-low    16      7391    389    99    99.19   100     0.18   1.82    3.81
  SD-low    18     15536    760   108   102.61   103     0.17   1.92    2.39
  SD-low    16     49152     34   104   103.02   104     0.15   2.10    3.98
  SD-low    20     32771   1419   104   104.27   105     0.16   2.01   -2.27
  SD-low    22     67440   2735   107   106.70   107     0.15   2.09   -2.70
  SD-low    18    196608     32   106   105.13   106     0.13   2.27    2.87
  SD-low    20    786432     31   110   109.14   110     0.12   2.42    2.86
  SD-low    22   3145728     30   114   113.15   114     0.11   2.55    2.85
  SD-low    24  12582912     29   118   117.15   118     0.10   2.68    1.85
